<<<<<<< HEAD
ID,Species,DBH in.,Condition,Total Benefits for this year ($),Storm Water runoff avoided ($),Runoff avoided (gal),Rainfall intercepted (gal),Ozone (oz),Sulfur dioxide (oz),Particulate matter <2.5 microns (oz),Lifetime CO2 equivalent of carbon (lbs),lat,long
65,Crabapple,13.32,Healthy,4.64,0.61,68.38,735.25,5.33,0.73,0.26,2336.24,40.362856,-82.400954,120.362856,-2.400954
66,Crabapple,13.32,Healthy,4.64,0.61,68.38,735.25,5.33,0.73,0.26,2336.24,40.362994,-82.391663,120.362994,-2.391663
67,Crabapple,13.32,Healthy,4.64,0.61,68.38,735.25,5.33,0.73,0.26,2336.24,40.363132,-82.417749,120.363132,-2.417749
68,Crabapple,13.32,Healthy,4.64,0.61,68.38,735.25,5.33,0.73,0.26,2336.24,40.36327,-82.388447,120.36327,-2.388447
69,Crabapple,13.32,Healthy,4.64,0.61,68.38,735.25,5.33,0.73,0.26,2336.24,40.363408,-82.372367,120.363408,-2.372367
70,Magnolia,5.08,Healthy,1.02,0.24,26.92,289.48,5.61,0.76,0.29,160.7,40.363546,-82.373439,120.363546,-2.373439
71,Dogwood,6.12,Healthy,1.44,0.37,40.87,439.44,2.91,0.4,0.13,283.24,40.363684,-82.377012,120.363684,-2.377012
72,Red Maple,5.76,Healthy,2.01,0.34,37.52,403.5,3.07,0.42,0.16,293.62,40.363822,-82.398095,120.363822,-2.398095
73,Red Maple,5.76,Healthy,2.01,0.34,37.52,403.5,3.07,0.42,0.16,293.62,40.36396,-82.404885,120.36396,-2.404885
74,Red Maple,5.76,Healthy,2.01,0.34,37.52,403.5,3.07,0.42,0.16,293.62,40.364098,-82.383802,120.364098,-2.383802
75,Sweet gum,6.72,Healthy,1.96,0.24,26.57,285.67,2.25,0.31,0.12,367.45,40.364236,-82.376298,120.364236,-2.376298
76,Red Maple,16.2,Healthy,5.01,1.12,125.11,1345.3,10.75,1.46,0.58,3387.51,40.364374,-82.37058,120.364374,-2.37058
77,Red Maple,19.56,Healthy,4.32,1.35,151.15,1625.32,12.06,1.65,0.6,5290.1,40.364512,-82.392735,120.364512,-2.392735
78,Red Maple,15.72,Healthy,5.04,1.08,121.13,1302.57,10.49,1.42,0.58,3154.91,40.36465,-82.377727,120.36465,-2.377727
79,Red Maple,18.12,Healthy,4.69,1.25,140.42,1509.95,11.59,1.58,0.6,4414.9,40.364788,-82.418106,120.364788,-2.418106
80,Oak,2.36,Healthy,0.42,0.1,11.31,121.63,0.73,0.1,0.1,29.68,40.364926,-82.401311,120.364926,-2.401311
81,Oak,5.31,Healthy,1.28,0.24,26.45,284.45,1.93,0.27,0.1,223.6,40.365064,-82.413461,120.365064,-2.413461
82,Oak,4.82,Healthy,1.1,0.21,23.56,253.31,1.69,0.23,0.1,175.48,40.365202,-82.371652,120.365202,-2.371652
83,Oak,4.33,Healthy,0.96,0.19,20.81,223.74,1.46,0.2,0.1,134.22,40.36534,-82.412746,120.36534,-2.412746
84,Beech,4.72,Healthy,0.92,0.22,24.12,259.38,1.93,0.26,0.1,138.98,40.365478,-82.40417,120.365478,-2.40417
85,Maple,3.15,Healthy,0.78,0.16,18.09,194.53,1.4,0.19,0.1,86.51,40.365616,-82.400954,120.365616,-2.400954
86,Beech,4.33,Healthy,0.83,0.2,21.83,234.7,1.72,0.24,0.1,113.01,40.365754,-82.375583,120.365754,-2.375583
87,Oak,11.02,Healthy,2,0.62,69.62,748.65,5.82,0.79,0.31,1397.42,40.365892,-82.411674,120.365892,-2.411674
88,Beech,4.72,Healthy,0.89,0.22,24.12,259.38,1.9,0.26,0.1,138.98,40.36603,-82.41632,120.36603,-2.41632
89,Beech,4.53,Healthy,0.88,0.21,22.99,247.23,1.83,0.25,0.1,125.93,40.366168,-82.405599,120.366168,-2.405599
90,Oak,30.51,Healthy,2.58,2.53,283.54,3049.01,11.17,1.66,0.23,17532.72,40.366306,-82.418106,120.366306,-2.418106
91,Oak,35.24,Healthy,3.05,3,336.12,3614.36,10.25,1.57,0.15,24836.79,40.366444,-82.419893,120.366444,-2.419893
92,Oak,41.73,Poor,3.61,3.58,400.97,4311.72,7.24,1.17,0.1,37388.58,40.366582,-82.417034,120.366582,-2.417034
93,Oak,35.24,Healthy,3.05,3,336.12,3614.36,10.25,1.57,0.15,24836.79,40.36672,-82.397023,120.36672,-2.397023
94,Oak,31.5,Healthy,2.68,2.63,294.81,3170.12,10.93,1.63,0.21,18943.25,40.366858,-82.403098,120.366858,-2.403098
95,Oak,4.13,Healthy,0.9,0.18,19.73,212.13,1.37,0.19,0.1,119.27,40.366996,-82.419178,120.366996,-2.419178
96,Oak,3.94,Healthy,0.84,0.17,18.73,201.36,1.29,0.18,0.1,106.05,40.367134,-82.403098,120.367134,-2.403098
97,Oak,3.54,Healthy,0.72,0.15,16.69,179.49,1.13,0.16,0.1,81.21,40.367272,-82.370223,120.367272,-2.370223
98,Oak,3.35,Healthy,0.66,0.14,15.76,169.5,1.06,0.15,0.1,70.79,40.36741,-82.373082,120.36741,-2.373082
99,Oak,27.17,Healthy,2.26,2.19,244.92,2633.67,11.66,1.69,0.31,13216.57,40.367548,-82.385946,120.367548,-2.385946
100,Black Cherry,14.57,Healthy,7.58,0.78,86.91,934.57,7.55,1.02,0.42,3057.89,40.367686,-82.378442,120.367686,-2.378442
101,Oak,23.23,Healthy,1.86,1.78,198.97,2139.52,11.79,1.67,0.41,8991.18,40.367824,-82.371652,120.367824,-2.371652
102,Spruce,33.46,Healthy,1.39,1.1,123.09,1323.61,28.01,3.76,1.58,11966.47,40.367962,-82.369508,120.367962,-2.369508
103,Spruce,7.48,Healthy,1.39,0.17,19.14,205.77,4.34,0.58,0.24,418.51,40.3681,-82.415248,120.3681,-2.415248
104,Spruce,24.61,Healthy,1.25,0.97,108.58,1167.54,26.31,3.52,1.59,6016.5,40.368238,-82.416677,120.368238,-2.416677
105,Spruce,21.85,Healthy,1.09,0.83,92.38,993.42,23.72,3.16,1.53,4610.13,40.368376,-82.378442,120.368376,-2.378442
106,Spruce,21.26,Healthy,1.05,0.79,88.94,956.35,23.06,3.07,1.5,4336.15,40.368514,-82.378084,120.368514,-2.378084
107,Spruce,11.61,Healthy,2.24,0.33,36.68,394.42,9.45,1.26,0.61,1119.55,40.368652,-82.408101,120.368652,-2.408101
108,Spruce,20.87,Healthy,1.03,0.77,86.66,931.91,22.61,3.01,1.48,4160.13,40.36879,-82.378799,120.36879,-2.378799
109,Spruce,16.14,Healthy,1.92,0.53,59.87,643.74,16.99,2.26,1.12,2340.32,40.368928,-82.409173,120.368928,-2.409173
110,Spruce,22.44,Healthy,1.13,0.86,95.84,1030.59,24.33,3.24,1.55,4893.43,40.369066,-82.417749,120.369066,-2.417749
111,Spruce,10.24,Healthy,2.09,0.27,30.41,326.97,7.57,1.01,0.47,845.26,40.369204,-82.389519,120.369204,-2.389519
112,Spruce,17.91,Healthy,1.58,0.62,69.68,749.28,19.55,2.6,1.29,2954.1,40.369342,-82.37201,120.369342,-2.37201
113,Spruce,9.65,Healthy,1.93,0.25,27.84,299.32,6.81,0.91,0.42,740.12,40.369481,-82.368079,120.369481,-2.368079
114,Spruce,22.44,Healthy,1.13,0.86,95.84,1030.59,24.33,3.24,1.55,4893.43,40.369619,-82.414176,120.369619,-2.414176
115,Spruce,18.7,Healthy,1.38,0.66,74.15,797.4,20.51,2.73,1.35,3253.75,40.369757,-82.41489,120.369757,-2.41489
116,Spruce,9.45,Healthy,1.87,0.24,26.98,290.15,6.57,0.88,0.4,706.23,40.369895,-82.407743,120.369895,-2.407743
117,Spruce,25.39,Healthy,1.29,1.01,113.14,1216.65,26.9,3.6,1.59,6451.71,40.370033,-82.405599,120.370033,-2.405599
118,Spruce,12.6,Healthy,2.24,0.37,41.45,445.74,10.91,1.45,0.72,1344.58,40.370171,-82.377012,120.370171,-2.377012
119,Spruce,12.2,Healthy,2.24,0.35,39.5,424.76,10.3,1.37,0.67,1250.92,40.370309,-82.402741,120.370309,-2.402741
120,Spruce,21.26,Healthy,1.05,0.79,88.94,956.35,23.06,3.07,1.5,4336.15,40.370447,-82.399525,120.370447,-2.399525
121,Spruce,7.48,Healthy,1.39,0.17,19.14,205.77,4.34,0.58,0.24,418.51,40.370585,-82.399882,120.370585,-2.399882
122,Spruce,10.43,Healthy,2.13,0.28,31.25,336.06,7.82,1.04,0.49,880.77,40.370723,-82.417034,120.370723,-2.417034
123,Spruce,20.87,Healthy,1.03,0.77,86.66,931.91,22.61,3.01,1.48,4160.13,40.370861,-82.408816,120.370861,-2.408816
124,Spruce,12.2,Healthy,2.24,0.35,39.5,424.76,10.3,1.37,0.67,1250.92,40.370999,-82.385589,120.370999,-2.385589
125,Spruce,18.7,Healthy,1.38,0.66,74.15,797.4,20.51,2.73,1.35,3253.75,40.371137,-82.368436,120.371137,-2.368436
126,Spruce,20.08,Healthy,0.98,0.73,82.08,882.61,21.87,2.91,1.44,3815.89,40.371275,-82.376298,120.371275,-2.376298
127,Spruce,15.75,Healthy,1.99,0.52,57.75,620.99,16.36,2.18,1.08,2215.63,40.371413,-82.397738,120.371413,-2.397738
128,Spruce,22.24,Healthy,1.11,0.85,94.67,1017.98,24.13,3.22,1.54,4796.35,40.371551,-82.383445,120.371551,-2.383445
129,Spruce,18.11,Healthy,1.54,0.63,70.81,761.41,19.81,2.64,1.31,3028.45,40.371689,-82.385231,120.371689,-2.385231
130,Spruce,10.04,Healthy,2.02,0.26,29.53,317.5,7.31,0.98,0.45,808.75,40.371827,-82.386661,120.371827,-2.386661
131,Spruce,18.11,Healthy,1.54,0.63,70.81,761.41,19.81,2.64,1.31,3028.45,40.371965,-82.418106,120.371965,-2.418106
132,Spruce,10.04,Healthy,2.02,0.26,29.53,317.5,7.31,0.45,0.45,808.75,40.372103,-82.387375,120.372103,-2.387375
133,Spruce,14.17,Healthy,2.16,0.44,49.38,531.03,13.67,1.82,0.9,1748.79,40.372241,-82.404885,120.372241,-2.404885
134,Spruce,20.87,Healthy,1.03,0.77,86.66,931.91,22.61,3.01,1.48,4160.13,40.372379,-82.373439,120.372379,-2.373439
135,Oak,39.76,Healthy,3.46,3.42,382.4,4112.05,9.36,1.46,0.1,33254.98,40.372517,-82.382373,120.372517,-2.382373
136,Oak,33.07,Healthy,2.84,2.79,312.42,3359.47,10.66,1.61,0.18,21304.17,40.372655,-82.395594,120.372655,-2.395594
137,Oak,40.16,Healthy,3.49,3.45,386.26,4135.52,9.16,1.44,0.1,34071.02,40.372793,-82.389877,120.372793,-2.389877
138,Oak,29.13,Healthy,2.45,2.39,267.68,2878.42,11.37,1.67,0.26,15666.78,40.372931,-82.410602,120.372931,-2.410602
139,Oak,18.11,Healthy,1.34,1.26,140.88,1514.87,10.48,1.45,0.48,4847.1,40.373069,-82.414533,120.373069,-2.414533
140,Oak,33.27,Healthy,2.86,2.81,314.63,3383.31,10.54,1.59,0.18,21616.34,40.373207,-82.392735,120.373207,-2.392735
141,Oak,32.87,Healthy,2.82,2.77,310.19,3335.55,10.66,1.61,0.19,20994.88,40.373345,-82.42025,120.373345,-2.42025
142,Oak,21.26,Healthy,1.65,1.57,176.25,1895.2,11.52,1.61,0.45,7221.06,40.373483,-82.369866,120.373483,-2.369866
143,Oak,37.6,Healthy,3.26,3.22,360.87,3880.51,9.73,1.51,0.12,29049.98,40.373621,-82.383802,120.373621,-2.383802
144,Oak,28.35,Healthy,2.37,2.31,258.65,2781.29,11.51,1.68,0.28,14663.67,40.373759,-82.398453,120.373759,-2.398453
145,Walnut,29.92,Healthy,11.2,2.26,253.29,2723.66,14.87,2.11,0.5,14752.2,40.373897,-82.419178,120.373897,-2.419178
146,Walnut,39.57,Healthy,13.39,2.54,248.21,3056.17,14.17,2.05,0.39,28949.96,40.374035,-82.377727,120.374035,-2.377727
147,Walnut,24.8,Healthy,10.44,1.82,203.14,2184.39,15.31,2.11,0.71,9299.18,40.374173,-82.406314,120.374173,-2.406314
148,Walnut,16.54,Healthy,5.99,1.13,126.18,1356.82,12.56,1.67,0.82,3440.37,40.374311,-82.393807,120.374311,-2.393807
149,Walnut,30.32,Healthy,11.23,2.3,257.27,2766.51,14.77,2.1,0.49,15242.11,40.371333,-82.39323,120.371333,-2.39323
>>>>>>> a26ac247d1f0eab9f08cffd3c9465d84d10a915c
